id;code;prenom;nom;telephone;active
1;connect Connecticut;Platinum Profound;coherent Station;909-305-0359;false
2;back up;Personal Loan Account Buckinghamshire;Books;(249) 416-0860;true
3;lavender;Research;Terrace Identity;(440) 232-5629 x5364;false
4;olive success;magnetic District;productize;1-603-603-5022;false
5;Malawi Zimbabwe Dollar Home Loan Account;Oklahoma;Central Sao Tome and Principe lavender;628-491-0916;true
6;Forward transmit Grocery;pixel;Director;1-042-870-6956 x63219;true
7;Kentucky;Open-architected Brook;Implementation Pass Ball;1-044-916-3421 x1027;true
8;Car Baht;Human Cotton silver;Chief;(961) 253-2283 x6070;false
9;users Security;transitional parsing;Orchestrator Practical Internal;372.435.9245 x3873;false
10;Fresh Outdoors;Plastic wireless;application whiteboard;(821) 134-0169 x160;true
